HoldOut,Validation,R2_HoldOut,MSE_HoldOut,PCC_HoldOut,R2_Validation,MSE_Validation,PCC_Validation
1,2,0.4273973284047672,0.028596390260895572,0.6587502845388591,0.5095567730026069,0.02493116963888662,0.7158781414880323
1,3,0.4337606452126376,0.02827859940902157,0.6643249952887942,0.47196423961807066,0.02592829286098382,0.6927115170671969
1,4,0.3949802092363186,0.03021533588734946,0.638421602556662,0.43414118008799185,0.028861501789996004,0.6688411958416987
1,5,0.4079226672438597,0.029568975682483834,0.6502129009671471,0.3741089276475871,0.026909434411431354,0.6361522097779155
1,6,0.4104196983992511,0.02944427127407747,0.6516951070849071,0.5141507473829278,0.023957821943545538,0.729024574682367
2,1,0.48548151956466934,0.026155010023501825,0.7023466739276505,0.45335887773525574,0.027299842701374328,0.6761282330416
2,3,0.4907011192263301,0.025889677121651737,0.703032505196419,0.4753202615927914,0.025763501142056455,0.6924654042874574
2,4,0.5395640526694119,0.023405780891335205,0.7425802720124219,0.48537828821148377,0.026248164618631713,0.7079092301281802
2,5,0.48353254738073015,0.026254083990608558,0.7013107971035459,0.39050725890209903,0.026204407867928027,0.6406415831886897
2,6,0.5116540788054618,0.02482455528705692,0.7171427867579014,0.5156569196237066,0.023883550744883568,0.7193286608276392
3,1,0.4901259183946983,0.02503649468839999,0.7026119786963945,0.4276656906060352,0.02858298796534331,0.6611801037907656
3,2,0.4781268011441151,0.025625690817695047,0.6949272831746786,0.4823276497944936,0.026315333702025424,0.6997528399425825
3,4,0.4754174442312119,0.025758729154818038,0.6951681882499627,0.4718921919797754,0.026936019922525423,0.6944981623666407
3,5,0.4763098416109772,0.02571490950784149,0.6957587113719106,0.3803781784932744,0.026639895506192196,0.6400103104643263
3,6,0.48270708638468607,0.025400783745078474,0.7023111414550957,0.48855576526029587,0.02521994187280176,0.7084021765499219
4,1,0.45461407587442426,0.027817286346860547,0.6883040313346739,0.4074261435945862,0.02959377260494463,0.6525388047876886
4,2,0.4894952714110792,0.026038178816867624,0.7004671621802876,0.5300603468495914,0.023888891859025825,0.729049047704796
4,3,0.4773336378872781,0.026658480198351858,0.6910724137499318,0.4718874969936264,0.02593206117629654,0.688379399194569
4,5,0.46245939185121543,0.027417137770679566,0.682294263146431,0.39635978555788354,0.025952785518382333,0.6415673368405621
4,6,0.43900565502973077,0.028613390340111344,0.6679278158466109,0.46293833000159157,0.026483168993708884,0.6965174207134597
5,1,0.3642938170259028,0.02733142329605063,0.6249783840161773,0.408157901589167,0.02955722782751412,0.6479635819025718
5,2,0.3879984736838932,0.026312270073132426,0.643252692080861,0.48357331669156345,0.02625201152523745,0.7005011120639761
5,3,0.36205950208107485,0.027427484981730775,0.6293146578954524,0.49029510951733346,0.025028186847707558,0.706137274712009
5,4,0.37897819012552847,0.02670008632344899,0.6413407977550851,0.4747195469101908,0.026791811320461344,0.697342761514009
5,6,0.3555041813044686,0.0277093231198288,0.617151190460677,0.4742470827008942,0.025925520541819586,0.7099510283856387
6,1,0.4597751612995733,0.026639148718144275,0.708055103475618,0.4035696765639527,0.02978636869592869,0.6483398993953349
6,2,0.4728824747545528,0.025992811031668218,0.7058981221308271,0.49364944353508067,0.02573980213216125,0.7088595797805446
6,3,0.479261744018852,0.02567824144791202,0.7026223427636449,0.4846773477626183,0.025304037430050948,0.6971293621395155
6,4,0.46006988461151255,0.026624615550516623,0.6913966314018107,0.44958830756570944,0.02807362452863641,0.6780302846429058
6,5,0.4900496909687875,0.025146274565652195,0.7167219677449035,0.40857462326620364,0.025427623251851002,0.661620444256064
