T618,EGFP,-2.36,-3.42,-3.26,-3.26,-2.08,-2.11,-2.35,-2.08,-3.42,-2.11,-0.93,-0.93,-2.08,-2.35,-2.24,-3.26,-3.26,-3.26,-40.24,-10.21,6.09,0.68
A1890,XM_214061,-0.93,-2.24,-2.36,-2.24,-1.33,-2.08,-2.24,-2.11,-2.24,-2.35,-2.11,-2.08,-2.24,-2.11,-2.35,-2.08,-2.35,-0.93,-31.4,-24.45,10.31,0.65
A489,XM_371822,-3.26,-3.26,-2.24,-1.33,-2.08,-3.26,-3.42,-2.08,-0.93,-2.35,-3.26,-2.08,-2.35,-2.11,-0.93,-0.93,-0.93,-1.1,-32.93,-31.75,6.62,2.03
A1451,NM_003348,-2.08,-2.11,-3.26,-2.35,-0.93,-2.08,-3.26,-2.35,-0.93,-1.1,-1.33,-2.08,-2.24,-0.93,-2.35,-2.11,-0.93,-2.08,-29.98,-29.76,3.68,1.07
A1656,NM_021988,-3.42,-2.08,-1.33,-2.08,-3.42,-2.11,-2.24,-2.08,-2.11,-2.35,-1.1,-1.33,-1.1,-2.11,-3.26,-3.42,-2.08,-2.35,-35.45,-28.63,9.21,2.57
A1480,NM_003342,-2.24,-2.08,-0.93,-0.93,-0.93,-2.35,-2.08,-0.93,-0.93,-0.93,-1.33,-0.93,-0.93,-1.1,-0.93,-2.35,-2.08,-2.35,-21.36,-20.07,6.82,0.03
A1675,NM_021988,-2.24,-2.35,-2.08,-0.93,-2.35,-2.36,-2.24,-2.35,-2.11,-1.1,-2.35,-2.08,-0.93,-2.35,-2.08,-1.33,-2.08,-2.35,-31.14,-31.39,5.47,2.17
B200,M60857,-1.1,-2.35,-2.08,-2.35,-3.26,-3.26,-3.26,-2.08,-2.11,-3.26,-2.24,-2.11,-2.35,-0.93,-2.08,-2.24,-2.35,-2.08,-36.07,-36.04,6.71,1.16
A1885,XM_214061,-2.24,-2.11,-2.24,-3.26,-2.11,-0.93,-0.93,-2.08,-3.42,-3.26,-2.11,-2.08,-3.26,-2.35,-0.93,-1.1,-2.11,-2.35,-33.9,-28.76,9.13,0.52
A189,NM_003340,-1.33,-0.93,-1.1,-0.93,-2.11,-2.24,-2.11,-3.26,-3.42,-2.08,-0.93,-2.11,-3.42,-3.26,-2.11,-0.93,-1.1,-2.11,-30.96,-24.52,5.95,1.63
A246,NM_003337,-3.26,-2.11,-1.1,-2.35,-2.11,-2.08,-3.42,-2.11,-1.1,-1.33,-2.24,-2.11,-2.24,-2.11,-1.1,-0.93,-0.93,-2.11,-30.22,-27.85,7.71,1.05
A174,NM_003340,-2.24,-2.35,-2.08,-2.11,-2.24,-1.33,-2.08,-3.26,-2.35,-0.93,-0.93,-0.93,-1.1,-2.11,-2.35,-0.93,-1.1,-0.93,-26.38,-29.64,2.78,0.19
A140,NM_003340,-2.11,-3.26,-2.35,-1.1,-1.33,-0.93,-0.93,-0.93,-2.08,-2.35,-0.93,-2.24,-2.08,-0.93,-0.93,-1.33,-2.08,-2.35,-25.72,-24.38,3.35,0.07
A26,BD135193,-0.93,-2.35,-3.26,-2.08,-2.11,-3.26,-3.42,-3.26,-2.11,-2.08,-2.24,-2.35,-2.11,-1.1,-2.35,-3.26,-2.11,-2.08,-37.94,-29.69,8.09,3.52
A1179,NM_001001481,-2.11,-2.24,-2.35,-2.08,-1.33,-2.24,-2.11,-0.93,-1.1,-2.35,-3.26,-2.11,-2.24,-2.08,-2.11,-2.24,-2.11,-2.24,-32.26,-27.03,6.63,1.45
A1410,NM_003348,-2.08,-0.93,-2.35,-2.36,-2.24,-0.93,-2.11,-3.26,-2.24,-2.35,-2.08,-0.93,-2.35,-3.26,-2.11,-2.24,-2.08,-2.11,-33.49,-28.5,7.79,2.51
A1620,NM_006357,-2.08,-3.42,-2.08,-1.33,-2.08,-3.42,-2.08,-2.35,-3.26,-2.08,-0.93,-2.35,-2.08,-2.11,-2.35,-0.93,-1.1,-0.93,-31.54,-31.08,6.3,0.13
A2104,NM_012864,-1.1,-1.33,-0.93,-1.1,-0.93,-2.35,-2.08,-2.11,-3.42,-2.36,-3.42,-3.26,-2.08,-2.11,-2.24,-0.93,-2.35,-3.26,-32.39,-27.58,10.36,0.07
A2011,NM_012864,-3.26,-2.36,-2.24,-2.35,-3.26,-2.11,-2.08,-2.24,-1.33,-2.24,-2.08,-2.35,-2.11,-1.1,-2.35,-3.26,-2.08,-0.93,-34.76,-31.64,9.29,0.17
A237,NM_003337,-0.93,-2.11,-3.26,-2.35,-2.24,-2.08,-2.35,-3.26,-2.11,-1.1,-2.35,-2.36,-2.35,-1.1,-0.93,-2.35,-2.08,-2.11,-32.9,-25.17,9.16,2.17
B415,U47298,-0.93,-0.93,-1.33,-1.1,-2.11,-2.35,-2.08,-3.26,-2.35,-1.1,-2.35,-2.08,-2.35,-2.08,-2.35,-2.08,-2.11,-2.35,-30.77,-27.45,3.73,2.42
A912,NM_004223,-3.26,-2.24,-2.35,-3.26,-2.11,-1.1,-2.35,-3.26,-2.36,-3.42,-2.11,-2.08,-3.26,-3.26,-3.26,-3.42,-2.08,-2.35,-43.01,-32.34,14.3,5.17
A686,NM_003344,-0.93,-2.35,-3.26,-2.08,-2.11,-2.24,-0.93,-2.35,-2.08,-0.93,-0.93,-2.35,-2.11,-2.08,-3.42,-2.36,-3.42,-3.26,-34.67,-29.81,8.95,1.27
