Huesken_A1,BD135193,-2.08,-1.33,-0.93,-1.1,-1.33,-1.1,-2.11,-2.24,-0.93,-1.33,-0.93,-1.1,-0.93,-2.11,-2.35,-1.1,-0.93,-0.93,-19.89,-19.44,3.39,0.19
Huesken_A2,BD135193,-0.93,-1.1,-1.33,-1.1,-2.11,-2.24,-0.93,-1.33,-0.93,-1.1,-0.93,-2.11,-2.35,-1.1,-0.93,-0.93,-1.33,-1.1,-18.46,-19.85,3.17,0.22
Huesken_A3,BD135193,-2.35,-1.1,-0.93,-0.93,-1.33,-1.1,-1.33,-2.24,-2.11,-0.93,-1.1,-0.93,-2.35,-3.26,-2.08,-0.93,-0.93,-2.35,-23.76,-21.42,7.09,0.1
Huesken_A4,BD135193,-2.11,-0.93,-1.1,-0.93,-2.35,-3.26,-2.08,-0.93,-0.93,-2.35,-2.11,-0.93,-1.1,-0.93,-0.93,-0.93,-1.33,-1.1,-21.36,-17.62,9.27,0.03
Huesken_A5,BD135193,-2.11,-2.08,-2.35,-2.24,-3.26,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-23.08,-19.53,4.98,0.01
Huesken_A6,BD135193,-2.08,-2.35,-2.24,-3.26,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-2.35,-22.87,-20.22,4.98,0.01
Huesken_A7,BD135193,-2.24,-3.26,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-2.35,-0.93,-0.93,-20.3,-20.64,3.96,0.01
Huesken_A8,BD135193,-2.11,-0.93,-0.93,-0.93,-1.1,-0.93,-1.33,-0.93,-0.93,-1.1,-1.33,-0.93,-2.08,-2.35,-0.93,-0.93,-2.08,-2.24,-19.12,-18.93,3.92,0.06
Huesken_A9,BD135193,-1.33,-0.93,-2.08,-2.35,-0.93,-0.93,-2.08,-2.24,-0.93,-1.33,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-2.35,-1.1,-23.4,-22.59,4.79,0.15
Huesken_A10,BD135193,-0.93,-2.08,-2.24,-0.93,-1.33,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-2.35,-1.1,-0.93,-2.35,-3.26,-2.11,-1.1,-25.08,-22.75,4.34,0.11
Huesken_A11,BD135193,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-2.35,-1.1,-0.93,-2.35,-3.26,-2.11,-1.1,-0.93,-0.93,-2.11,-2.35,-2.08,-26.42,-26.17,6.53,0.11
Huesken_A12,BD135193,-0.93,-2.08,-2.35,-1.1,-0.93,-2.35,-3.26,-2.11,-1.1,-0.93,-0.93,-2.11,-2.35,-2.08,-3.42,-2.11,-1.1,-1.33,-27.6,-25.84,6.86,0.11
Huesken_A13,BD135193,-3.26,-2.11,-1.1,-0.93,-0.93,-2.11,-2.35,-2.08,-3.42,-2.11,-1.1,-1.33,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-28.1,-28.92,6.98,0.33
Huesken_A14,BD135193,-2.11,-1.1,-0.93,-0.93,-2.11,-2.35,-2.08,-3.42,-2.11,-1.1,-1.33,-2.24,-2.11,-1.1,-1.33,-0.93,-2.08,-3.26,-28.1,-29.2,6.99,0.24
